epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,19929.3,1.26985,1.09606,1.35978,0.73782,0.65766,0.72358,0.44711,1.26312,1.24561,1.46479,0.000607916,0.000607916,0.000607916
67,20229.1,1.27286,1.09783,1.36344,0.7342,0.66138,0.72409,0.44627,1.26141,1.2434,1.46296,0.000597754,0.000597754,0.000597754
68,20528,1.27522,1.09295,1.35873,0.73472,0.66094,0.7219,0.44602,1.26317,1.2445,1.46661,0.000587551,0.000587551,0.000587551
69,20827.2,1.27152,1.08535,1.35464,0.73704,0.65562,0.72309,0.44583,1.26404,1.24463,1.46798,0.000577311,0.000577311,0.000577311
70,21126.5,1.25875,1.07061,1.35047,0.73767,0.65649,0.72319,0.44596,1.26525,1.25128,1.47115,0.00056704,0.00056704,0.00056704
71,21425.9,1.25991,1.06481,1.34558,0.7295,0.66011,0.72162,0.44524,1.26457,1.25479,1.46942,0.000556742,0.000556742,0.000556742
72,21724.8,1.25593,1.05022,1.34092,0.72842,0.65704,0.72007,0.44435,1.2657,1.25461,1.47315,0.000546421,0.000546421,0.000546421
73,22023.9,1.25102,1.04326,1.34086,0.73136,0.65747,0.71993,0.44445,1.26721,1.25523,1.47624,0.000536081,0.000536081,0.000536081
74,22322.6,1.2504,1.04341,1.34019,0.7269,0.661,0.71871,0.4432,1.27102,1.24842,1.48198,0.000525728,0.000525728,0.000525728
75,22621.5,1.24303,1.03961,1.33253,0.7224,0.66431,0.71822,0.44271,1.27181,1.24853,1.48255,0.000515366,0.000515366,0.000515366
76,22920.3,1.24253,1.03179,1.33202,0.7246,0.66118,0.7166,0.44195,1.27428,1.24413,1.48441,0.000505,0.000505,0.000505
77,23219.3,1.23733,1.02953,1.32829,0.71864,0.66758,0.71628,0.44183,1.27533,1.24512,1.48522,0.000494634,0.000494634,0.000494634
78,23518,1.23726,1.01681,1.32652,0.71979,0.66813,0.71654,0.44167,1.27715,1.24348,1.48737,0.000484272,0.000484272,0.000484272
79,23817.1,1.22482,1.0066,1.3213,0.72281,0.66441,0.71652,0.44129,1.27799,1.24596,1.48713,0.000473919,0.000473919,0.000473919
