epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,569.353,1.14428,0.8298,1.24846,0.60335,0.63091,0.60823,0.31615,1.73581,1.40478,1.71208,0.000505,0.000505,0.000505
77,576.618,1.11452,0.80302,1.20089,0.69767,0.60327,0.61394,0.29291,1.7979,1.41118,1.75922,0.000494634,0.000494634,0.000494634
78,583.882,1.06803,0.78938,1.19677,0.69421,0.59133,0.62791,0.3156,1.74513,1.39853,1.7322,0.000484272,0.000484272,0.000484272
79,591.149,1.08901,0.77939,1.20284,0.68377,0.62098,0.64295,0.31522,1.77393,1.39283,1.76174,0.000473919,0.000473919,0.000473919
80,598.63,1.05789,0.79257,1.20108,0.64582,0.62517,0.64667,0.32601,1.76733,1.39237,1.73417,0.000463579,0.000463579,0.000463579
81,605.892,1.10719,0.81614,1.19596,0.68156,0.55346,0.62198,0.3175,1.75845,1.38467,1.73642,0.000453258,0.000453258,0.000453258
82,613.158,1.03408,0.76643,1.17894,0.66873,0.60787,0.61931,0.31017,1.79308,1.38685,1.74996,0.00044296,0.00044296,0.00044296
83,620.413,1.02165,0.72214,1.14731,0.71601,0.56533,0.61373,0.31335,1.80586,1.39103,1.78612,0.000432689,0.000432689,0.000432689
84,627.683,1.04822,0.76507,1.18756,0.68788,0.59865,0.6281,0.3127,1.83216,1.38399,1.82377,0.000422449,0.000422449,0.000422449
85,635.174,1.06263,0.74406,1.17287,0.69523,0.6152,0.64352,0.30257,1.79458,1.3613,1.75738,0.000412246,0.000412246,0.000412246
86,643.267,1.08213,0.78782,1.21164,0.73927,0.55549,0.64306,0.31648,1.79288,1.36356,1.73011,0.000402084,0.000402084,0.000402084
87,651.677,1.02575,0.71756,1.16119,0.68902,0.61468,0.65719,0.32964,1.75611,1.32676,1.7291,0.000391966,0.000391966,0.000391966
88,660.252,1.01478,0.74023,1.16858,0.73155,0.55756,0.62287,0.30964,1.7844,1.40359,1.77138,0.000381899,0.000381899,0.000381899
89,669.131,1.00766,0.72485,1.15135,0.73509,0.56389,0.64147,0.32741,1.71965,1.39189,1.72846,0.000371885,0.000371885,0.000371885
90,676.381,1.02428,0.72136,1.16237,0.68932,0.60583,0.65235,0.31893,1.76988,1.34576,1.81459,0.000361929,0.000361929,0.000361929
91,684.136,0.98576,0.85734,1.13758,0.70011,0.59376,0.64774,0.3243,1.71372,1.35544,1.73421,0.000352037,0.000352037,0.000352037
92,692.286,0.95059,0.72404,1.10229,0.64912,0.61387,0.64685,0.32629,1.71666,1.30622,1.68942,0.000342211,0.000342211,0.000342211
93,701.11,0.96478,0.669,1.12884,0.6565,0.63514,0.65919,0.3282,1.74754,1.3444,1.75045,0.000332457,0.000332457,0.000332457
94,709.559,0.95637,0.66652,1.114,0.71384,0.60878,0.65797,0.34055,1.7436,1.36556,1.75574,0.000322778,0.000322778,0.000322778
95,717.927,0.96684,0.67291,1.11826,0.70875,0.61385,0.65233,0.32776,1.72294,1.33679,1.72545,0.00031318,0.00031318,0.00031318
96,726.124,0.97239,0.70776,1.14354,0.68683,0.57746,0.63792,0.31696,1.7364,1.38556,1.70842,0.000303665,0.000303665,0.000303665
97,733.409,0.97318,0.66039,1.15502,0.71116,0.60783,0.65184,0.32486,1.742,1.29434,1.74899,0.000294239,0.000294239,0.000294239
98,740.904,0.9356,0.65167,1.10256,0.73687,0.57285,0.65696,0.3283,1.78211,1.34839,1.79211,0.000284906,0.000284906,0.000284906
99,748.886,0.96482,0.67551,1.12815,0.71533,0.59933,0.63809,0.32287,1.7539,1.34608,1.74679,0.000275668,0.000275668,0.000275668
100,756.853,0.97601,0.67607,1.1384,0.69154,0.61727,0.64696,0.32919,1.77984,1.32732,1.77532,0.000266532,0.000266532,0.000266532
101,765.132,0.88869,0.63099,1.09043,0.71663,0.58669,0.63502,0.32289,1.76065,1.37313,1.75304,0.0002575,0.0002575,0.0002575
102,774.552,0.93195,0.65303,1.11124,0.75318,0.52297,0.61804,0.30489,1.76595,1.37388,1.7485,0.000248577,0.000248577,0.000248577
103,782.714,0.91264,0.63561,1.09228,0.7795,0.5673,0.65689,0.32953,1.74336,1.30019,1.76727,0.000239766,0.000239766,0.000239766
104,791.185,0.92766,0.6291,1.12238,0.67134,0.62717,0.64716,0.32622,1.74025,1.31007,1.74356,0.000231071,0.000231071,0.000231071
105,799.603,0.92079,0.6476,1.12474,0.71772,0.57278,0.64185,0.32462,1.74995,1.36086,1.73223,0.000222497,0.000222497,0.000222497
