epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,10197.2,1.35173,1.17956,1.32768,0.71521,0.64651,0.70014,0.42234,1.38091,1.21654,1.47332,0.000453258,0.000453258,0.000453258
82,10319,1.34305,1.17674,1.31885,0.72098,0.63864,0.69926,0.42217,1.38166,1.21429,1.47339,0.00044296,0.00044296,0.00044296
83,10442.6,1.34701,1.18475,1.32771,0.71571,0.63966,0.69866,0.42256,1.38258,1.21026,1.47598,0.000432689,0.000432689,0.000432689
84,10566.8,1.33692,1.16877,1.32222,0.72257,0.63847,0.69878,0.42201,1.38254,1.20764,1.4756,0.000422449,0.000422449,0.000422449
85,10689.5,1.34265,1.16928,1.32002,0.71124,0.64494,0.69945,0.42184,1.38275,1.20681,1.4753,0.000412246,0.000412246,0.000412246
86,10812.3,1.34292,1.16412,1.31917,0.72243,0.63938,0.69915,0.42269,1.38019,1.21027,1.47178,0.000402084,0.000402084,0.000402084
87,10933.9,1.33682,1.15567,1.31627,0.72338,0.64322,0.69987,0.42233,1.3806,1.20917,1.47208,0.000391966,0.000391966,0.000391966
88,11055.5,1.33717,1.15932,1.31723,0.72303,0.64318,0.69994,0.42214,1.37943,1.21099,1.47063,0.000381899,0.000381899,0.000381899
89,11177.5,1.32891,1.16037,1.31266,0.71845,0.64512,0.6996,0.42271,1.37997,1.21061,1.47206,0.000371885,0.000371885,0.000371885
90,11301.1,1.32968,1.14886,1.30983,0.71669,0.64671,0.69933,0.4231,1.38022,1.20838,1.47269,0.000361929,0.000361929,0.000361929
91,11426.3,1.32691,1.14707,1.30871,0.71988,0.64621,0.6992,0.42247,1.38225,1.20554,1.4754,0.000352037,0.000352037,0.000352037
92,11550.4,1.33509,1.14838,1.31307,0.72301,0.64585,0.69982,0.4236,1.38253,1.20534,1.47579,0.000342211,0.000342211,0.000342211
93,11670.8,1.33009,1.14619,1.31091,0.72269,0.64531,0.69961,0.42317,1.38207,1.20572,1.4752,0.000332457,0.000332457,0.000332457
94,11793.5,1.31947,1.13721,1.3039,0.7246,0.64543,0.70056,0.42368,1.38228,1.20451,1.47637,0.000322778,0.000322778,0.000322778
95,11917.5,1.31824,1.13447,1.30712,0.72212,0.64391,0.69997,0.42341,1.38226,1.20518,1.47669,0.00031318,0.00031318,0.00031318
96,12043.8,1.31789,1.12858,1.30274,0.71991,0.64691,0.7002,0.42359,1.38263,1.20649,1.47641,0.000303665,0.000303665,0.000303665
97,12167.4,1.31817,1.12793,1.30535,0.71913,0.64713,0.69969,0.42334,1.3827,1.20697,1.47629,0.000294239,0.000294239,0.000294239
98,12288.7,1.31993,1.13021,1.30427,0.72314,0.64313,0.69987,0.4232,1.3828,1.20645,1.47589,0.000284906,0.000284906,0.000284906
99,12413.4,1.31528,1.11566,1.2983,0.71806,0.64624,0.69983,0.42349,1.38316,1.20555,1.4757,0.000275668,0.000275668,0.000275668
100,12534.2,1.30912,1.1222,1.29856,0.71789,0.64648,0.69933,0.42331,1.38268,1.20466,1.47488,0.000266532,0.000266532,0.000266532
101,12660.7,1.30401,1.10879,1.29621,0.71804,0.64865,0.69996,0.42343,1.38252,1.2053,1.47509,0.0002575,0.0002575,0.0002575
102,12785.8,1.30765,1.10673,1.29674,0.71897,0.64683,0.70037,0.42358,1.3825,1.20547,1.47532,0.000248577,0.000248577,0.000248577
103,12893.1,1.30513,1.09505,1.28907,0.71997,0.64836,0.7,0.42332,1.38171,1.20628,1.47446,0.000239766,0.000239766,0.000239766
104,13012.4,1.29857,1.09825,1.28684,0.71923,0.64865,0.69965,0.42298,1.38132,1.2051,1.47385,0.000231071,0.000231071,0.000231071
105,13135.4,1.30246,1.10351,1.29437,0.71663,0.65047,0.69983,0.42307,1.3806,1.20645,1.47312,0.000222497,0.000222497,0.000222497
106,13257.7,1.29931,1.09522,1.28742,0.71756,0.65127,0.70042,0.4232,1.38103,1.20527,1.47361,0.000214046,0.000214046,0.000214046
107,13381.3,1.29737,1.08865,1.28714,0.71829,0.65104,0.70042,0.42304,1.3815,1.20563,1.47433,0.000205723,0.000205723,0.000205723
108,13502.9,1.29613,1.08803,1.28635,0.71616,0.65157,0.7001,0.42326,1.38155,1.20554,1.47444,0.000197532,0.000197532,0.000197532
